,city_name,country_name,longitude,latitude,clouds,date,humidity,max temp,wind
348,alta gracia,AR,-64.43,-31.66,0,1534716000,25,50.0,11.41
349,arman,RU,150.17,59.7,0,1534716000,42,64.4,11.18
350,lake havasu city,US,-114.34,34.47,1,1534718100,13,114.8,8.05
351,manicore,BR,-61.3,-5.81,36,1534718811,96,74.72,1.92
352,marrakesh,MA,-7.99,31.63,0,1534716000,48,84.2,5.82
353,flinders,AU,150.85,-34.58,0,1534716000,45,46.4,11.41
354,manokwari,ID,134.08,-0.87,56,1534718811,100,81.65,2.82
355,hammerfest,NO,23.68,70.66,92,1534718557,100,49.07,16.02
356,butajira,ET,38.38,8.12,92,1534718812,97,52.22,2.15
357,simpang,MY,100.71,4.82,75,1534716000,88,78.8,3.36
358,mount isa,AU,139.49,-20.73,0,1534716000,27,53.6,12.75
359,poddorye,RU,31.12,57.47,8,1534718812,95,60.59,8.41
360,marzuq,YE,46.47,14.4,76,1534718813,59,66.44,2.82
361,saint-leu,RE,55.28,-21.15,0,1534716000,59,73.4,5.82
362,yar-sale,RU,70.83,66.83,36,1534718814,93,52.58,15.57
363,russell,AR,-68.8,-33.01,0,1534716000,39,50.0,6.93
364,fairbanks,US,-147.72,64.84,40,1534715880,48,66.2,5.28
365,baishishan,CN,127.55,43.58,92,1534718814,84,68.87,3.15
366,yeniseysk,RU,92.17,58.45,0,1534718815,81,59.78,2.37
367,kota belud,MY,116.43,6.35,75,1534717800,65,77.0,2.24
368,jumla,NP,82.18,29.28,88,1534718815,91,38.36,2.82
369,bereda,ES,-7.54,43.27,0,1534716000,77,66.2,4.7
370,noumea,NC,166.46,-22.28,90,1534716000,88,64.4,3.36
371,sistranda,NO,8.83,63.73,75,1534715400,93,50.0,12.75
372,paracatu,BR,-46.87,-17.22,48,1534718816,61,70.04,6.4
373,breves,BR,-50.48,-1.68,32,1534718759,67,83.99,10.2
374,totness,US,-80.8,33.74,1,1534716900,94,87.8,9.86
375,namibe,AO,12.15,-15.19,48,1534718722,100,63.92,7.18
376,vao,EE,26.19,59.1,76,1534718818,83,56.09,5.17
377,puerto escondido,MX,-97.07,15.86,40,1534714860,70,86.0,11.41
378,hanzhong,CN,107.03,33.08,0,1534718819,89,72.65,2.71
379,asyut,EG,31.19,27.18,0,1534716000,48,82.4,6.93
380,leningradskiy,RU,178.42,69.38,92,1534718819,95,40.97,5.06
381,longyearbyen,NO,15.63,78.22,75,1534715400,87,42.8,5.82
382,san jose,PH,120.99,15.79,92,1534718476,100,74.27,2.71
383,maceio,BR,-35.74,-9.67,20,1534716000,78,75.2,6.93
384,afyonkarahisar,TR,30.53,38.76,0,1534718820,79,53.57,3.94
385,dunedin,NZ,170.5,-45.87,68,1534718805,92,42.86,9.86
386,isangel,VU,169.27,-19.55,80,1534718821,100,73.37,11.32
387,nikolskoye,RU,30.79,59.7,0,1534716000,82,60.8,13.42
388,marathon,CA,-86.38,48.72,8,1534718821,91,62.03,3.71
389,coruripe,BR,-36.18,-10.12,44,1534718822,99,76.79,12.77
390,laguna,MX,-110.01,27.52,75,1534714860,39,96.8,5.82
391,tiznit,MA,-9.73,29.7,68,1534718822,100,67.16,1.36
392,banjar,ID,108.54,-7.37,0,1534718823,90,62.39,2.37
393,sorong,ID,131.25,-0.86,12,1534718823,100,80.21,9.86
394,broome,GB,1.45,52.47,0,1534715760,72,68.0,8.05
395,kokorevka,RU,34.27,52.59,80,1534718823,87,62.57,3.27
396,redwater,CA,-113.11,53.95,0,1534718823,68,66.17,7.18
397,mount gambier,AU,140.78,-37.83,80,1534718767,83,50.06,6.17
398,umtata,ZA,28.78,-31.59,0,1534716000,66,51.8,1.12
399,martapura,ID,114.85,-3.41,0,1534716000,88,75.2,6.06
400,tigil,RU,158.67,57.8,92,1534718824,93,57.17,13.11
401,oktyabrskoye,RU,85.44,56.73,8,1534718825,87,54.29,4.94
402,farah,AF,62.11,32.37,0,1534718825,27,65.36,2.71
403,mehamn,NO,27.85,71.03,92,1534718825,100,50.06,5.17
404,kirakira,SB,161.92,-10.46,48,1534718825,100,80.48,4.38
405,adwa,ET,38.9,14.16,92,1534718826,99,58.25,2.59
406,tahe,CN,124.71,52.34,0,1534718826,76,63.47,3.27
407,esperance,TT,-61.45,10.24,20,1534716000,74,84.2,8.05
408,rio branco,BR,-67.82,-9.98,40,1534716000,69,80.6,2.24
409,codrington,AU,153.24,-28.95,0,1534718635,40,56.72,7.63
410,hoima,UG,31.35,1.43,56,1534718827,96,62.84,2.59
411,torata,PE,-70.84,-17.08,0,1534718827,53,38.36,0.69
412,cam ranh,VN,109.15,11.92,56,1534718828,91,81.29,8.19
413,manggar,ID,108.27,-2.88,12,1534718828,90,80.12,10.65
414,general pico,AR,-63.75,-35.66,0,1534718828,36,38.09,6.62
415,jijiga,ET,42.8,9.35,12,1534718828,83,59.69,8.41
416,sugod,PH,124.08,12.99,8,1534718829,97,83.27,18.48
417,muros,ES,-9.06,42.77,0,1534716000,63,66.2,4.7
418,dzilam gonzalez,MX,-88.93,21.28,24,1534718829,85,82.19,5.17
419,sohag,EG,31.7,26.55,0,1534718829,65,68.87,2.59
420,bubaque,GW,-15.83,11.28,75,1534716000,94,77.0,5.82
421,cascais,PT,-9.42,38.7,0,1534716000,20,82.4,10.29
422,diffa,NE,12.61,13.32,88,1534718830,80,76.7,11.54
423,kalevala,FI,29.58,64.12,36,1534718830,73,55.82,9.19
424,barra do garcas,BR,-52.26,-15.89,0,1534718831,66,72.92,2.59
425,nuuk,GL,-51.74,64.17,75,1534715400,100,42.8,9.17
426,hrodna,BY,23.83,53.68,56,1534718831,89,59.06,2.71
427,mendi,ET,35.1,9.8,100,1534718831,99,59.06,2.71
428,vostok,RU,135.83,46.45,12,1534718635,93,67.61,2.71
429,bose,IT,8.01,45.46,40,1534715700,54,78.8,6.93
430,saint-junien,FR,0.9,45.89,0,1534716000,46,71.6,5.82
431,catacamas,HN,-85.89,14.85,40,1534716000,49,89.6,2.24
432,teya,MX,-89.07,21.05,75,1534716360,88,75.2,5.17
433,san esteban,CL,-70.58,-32.8,0,1534716000,33,62.6,8.05
434,raahe,FI,24.47,64.68,0,1534717200,54,59.0,20.8
435,ngunguru,NZ,174.5,-35.62,76,1534718833,98,60.14,23.62
436,petauke,ZM,31.33,-14.25,0,1534718834,51,66.53,10.54
437,zhezkazgan,KZ,67.71,47.8,88,1534718834,59,65.09,9.75
438,uruzgan,AF,66.63,32.93,0,1534718834,65,41.42,1.92
439,at-bashi,KG,75.81,41.17,0,1534718835,81,36.92,2.15
440,tripoli,GR,22.37,37.51,0,1534715400,47,75.2,6.93
441,homer,US,-151.54,59.64,90,1534718040,93,60.8,17.81
442,umm lajj,SA,37.27,25.02,0,1534718835,100,79.67,5.39
443,awbari,LY,12.77,26.59,64,1534718835,27,88.67,8.63
444,katsuura,JP,134.5,33.93,75,1534716000,78,71.6,4.7
445,la colorada,VE,-72.32,7.55,40,1534716000,38,91.4,18.34
446,erdenet,MN,104.04,49.03,8,1534718836,91,47.81,2.93
447,pudozh,RU,36.54,61.81,8,1534718836,96,57.98,8.19
448,nguru,NG,10.45,12.88,32,1534718837,94,70.67,10.42
449,bukachacha,RU,116.91,52.99,88,1534718837,74,58.97,3.38
450,muhos,FI,26.0,64.81,0,1534717200,54,59.0,20.8
451,bushehr,IR,50.84,28.97,0,1534718837,81,80.03,4.16
452,road town,VG,-64.62,18.42,20,1534716000,62,86.0,9.17
453,faya,SA,42.45,18.39,0,1534716000,52,68.0,4.7
454,magadan,RU,150.8,59.56,0,1534716000,42,64.4,11.18
455,fort nelson,CA,-122.69,58.81,75,1534716000,24,71.6,9.17
456,mega,ET,38.32,4.06,48,1534718838,92,57.44,7.63
457,jinchang,CN,102.19,38.52,88,1534718839,70,63.56,4.61
458,itarema,BR,-39.92,-2.92,0,1534718839,68,78.14,16.35
459,zhicheng,CN,112.59,35.04,0,1534718839,71,78.41,5.39
460,vestmanna,FO,-7.17,62.16,64,1534715400,93,50.0,1.12
461,pontianak,ID,109.34,-0.02,40,1534717800,94,73.4,8.86
462,saint-ambroise,FR,-0.65,47.25,0,1534716000,77,68.0,2.24
463,valle de allende,MX,-105.39,26.94,12,1534718841,52,81.11,4.61
464,hay river,CA,-115.79,60.82,75,1534716000,59,62.6,10.29
465,luba,PH,120.7,17.32,92,1534718841,96,73.46,4.94
466,ranong,TH,98.62,9.96,92,1534718841,100,77.24,14.56
467,karpogory,RU,44.44,64.0,92,1534718842,98,57.26,7.4
468,oranjemund,ZA,16.43,-28.55,76,1534718842,98,56.36,7.07
469,raudeberg,NO,5.14,61.99,92,1534715400,93,53.6,4.7
470,talara,PE,-81.27,-4.58,0,1534716000,73,73.4,11.41
471,vestmannaeyjar,IS,-20.27,63.44,88,1534718840,98,48.89,6.17
472,nouadhibou,MR,-17.03,20.93,0,1534716000,83,69.8,20.8
473,asosa,ET,34.53,10.07,92,1534718843,97,63.29,3.15
474,nhulunbuy,AU,136.78,-12.18,40,1534717980,50,78.8,18.34
475,yulara,AU,130.99,-25.24,0,1534716000,51,39.2,8.05
476,port keats,AU,129.55,-14.25,0,1534718844,47,74.27,20.71
477,samarai,PG,150.67,-10.62,88,1534718845,100,77.69,17.92
478,acapulco,MX,-99.88,16.86,75,1534715160,74,86.0,10.29
479,aquiraz,BR,-38.39,-3.9,20,1534716000,78,78.8,10.29
480,ust-kuyga,RU,135.55,70.0,44,1534718845,71,51.05,7.74
481,lagos,NG,3.39,6.46,40,1534716000,83,78.8,3.36
482,durusu,TR,40.83,37.53,0,1534715400,43,80.6,8.05
483,imbituba,BR,-48.67,-28.24,0,1534716000,77,66.2,11.41
484,wheeling,US,-80.72,40.06,20,1534715760,64,75.2,6.93
485,west bay,GB,-2.76,50.71,75,1534717200,93,66.2,5.82
486,alice springs,AU,133.88,-23.7,0,1534717800,55,39.2,3.36
487,atar,MR,-13.05,20.52,0,1534718762,30,82.19,3.94
488,natal,BR,-35.21,-5.81,0,1534716000,69,77.0,11.41
489,watsa,CD,29.53,3.04,68,1534718848,97,64.55,2.82
490,havoysund,NO,24.66,71.0,92,1534718848,100,48.35,12.33
491,ramshir,IR,49.41,30.89,0,1534716000,42,86.0,6.93
492,rathkeale,IE,-8.94,52.52,75,1534717800,93,62.6,8.05
493,inhambane,MZ,35.38,-23.87,0,1534718849,100,66.8,3.94
494,caraballeda,VE,-66.85,10.61,40,1534716000,69,82.4,5.82
